Unit 1,Words and expressions,suppose,v.,"想，认为",I suppose everyone has something they don't like about themselves.,I suppose maths is hard for many students.
Unit 1,Words and expressions,birthmark,n.,"胎记，胎痣","For me, it was the birthmark on my face.",My little cousin has a small birthmark on his arm.
Unit 1,Words and expressions,bright,adj.,鲜艳的,"It was bright red, the colour of a strawberry.",I like your bright yellow schoolbag!
Unit 1,Words and expressions,strawberry,n.,草莓,"It was bright red, the colour of a strawberry.",Strawberry ice cream is my favourite.
Unit 1,Words and expressions,crowded,adj.,挤满人（物）的；拥挤的,"On crowded buses and trains, it felt just like a disaster.",The subway is really crowded at 8 a.m.
Unit 1,Words and expressions,disaster,n.,"灾难，不幸","On crowded buses and trains, it felt just like a disaster.",I forgot my homework - what a disaster!
Unit 1,Words and expressions,therefore,adv.,"因此，由此，所以","Therefore, I always kept my hair long to cover it.","I was ill; therefore, I stayed at home."
Unit 1,Words and expressions,cover,v.,遮盖,I always kept my hair long to cover it until that day.,He covered his eyes during the scary movie.
Unit 1,Words and expressions,instead,adv.,代替；而不是,"Instead of looking away, Maddie studied my face.",I didn't take the bus. I walked instead.
Unit 1,Words and expressions,instead of,短语,代替……；而不是……,"Instead of looking away, Maddie studied my face.",Let's play basketball instead of staying at home.
Unit 1,Words and expressions,although,conj.,"虽然，尽管","Although I only replied ""thank you"", it turned sunny in my heart.","Although I was tired, I finished my homework."
Unit 1,Words and expressions,bathroom,n.,"浴室，卫生间",I rushed to the bathroom and looked in the mirror.,I sing songs in the bathroom every morning.
Unit 1,Words and expressions,quickly,adv.,"很快，马上",I could look at my birthmark without quickly turning away.,She quickly put away her phone when Mum came in.
Unit 1,Words and expressions,truly,adv.,"真实地，确实地",The shape of it was truly like a flower.,This is truly the best dumpling I've ever had.
Unit 1,Words and expressions,paint,v.,（用颜料）画，绘,Maddie painted a red rose on her own face!,We painted a big panda on the class wall.
Unit 1,Words and expressions,yet,adv.,"还，尚",I haven't told Maddie the whole story yet.,I haven't watched that new film yet.
Unit 1,Words and expressions,anyway,adv.,总之,"Anyway, she has changed me.","It's raining. Anyway, let's play chess inside."
Unit 1,Words and expressions,already,adv.,已经,I have already learnt that I am what I am.,I have already packed my schoolbag.
Unit 1,Words and expressions,difference,n.,"差别，差异",Accept your differences. They make you special.,There's a big difference between the two photos.
Unit 1,Words and expressions,hate,v.,"讨厌，不喜欢",Sally hated the birthmark on her face.,I hate getting up early on Mondays.
Unit 1,Words and expressions,successful,adj.,"有成就的，出人头地的",You can use examples of successful people and their sayings to support your idea.,My uncle is a successful cook with his own restaurant.
Unit 1,Words and expressions,scientific,adj.,科学（上）的,The results of scientific studies can also help you make wise decisions.,We did a scientific experiment with water today.
Unit 1,Words and expressions,wise,adj.,"明智的，明断的",Scientific studies can help you make wise decisions.,Going to bed early before the exam was a wise choice.
Unit 1,Words and expressions,perfect,adj.,完成时的,Write sentences with the present perfect tense.,"""Have done"" is the present perfect tense form of ""do""."
Unit 1,Words and expressions,row,n.,"一排，一行",And I have always sat in the last row at school.,"I sit in the second row, near the window."
Unit 1,Words and expressions,height,n.,身高；高，高度,"Over time, I have learnt to accept my height.",What's your height? - About 1.7 metres.
Unit 1,Words and expressions,literature,n.,文学；文学作品,Many works of literature have described characters in search of their values.,Our teacher loves literature and reads us poems.
Unit 1,Words and expressions,character,n.,（书、剧本、电影等中的）人物，角色,Who are the main characters?,Monkey King is my favourite character in the book.
Unit 1,Words and expressions,wizard,n.,男巫,They all need help from the wizard.,The wizard in the story can make people fly.
Unit 1,Words and expressions,brain,n.,"脑，大脑",The Scarecrow wants a brain.,Use your brain before you answer!
Unit 1,Words and expressions,value,n.,价值观,It's a great book about finding our own values.,Being honest is one of my values.
Unit 1,Words and expressions,quality,n.,"素质；品德，品性","We already have the qualities, and we just need to discover them.",Kindness is a great quality in a friend.
Unit 1,Words and expressions,impossible,adj.,不可能发生的；办不到的,"Nothing is impossible; the word itself says ""I'm possible"".",Finishing this book in one hour is impossible for me.
Unit 1,Words and expressions,nothing,pron.,没有任何东西；没有事,Nothing is impossible as long as you try and stick to it.,There is nothing in my pocket.
Unit 1,Words and expressions,British,adj.,英国的；英国人的,"Audrey Hepburn, the British actress and star of the silver screen, said this.",My pen friend is British. She lives in London.
Unit 1,Words and expressions,actress,n.,女演员,"Audrey Hepburn, the British actress, said this.",The actress in that film is really funny.
Unit 1,Words and expressions,silver,adj.,"银制的，银质的",Audrey Hepburn was a star of the silver screen.,Grandma gave me a silver ring.
Unit 1,Words and expressions,the silver screen,短语,电影业,Audrey Hepburn was a star of the silver screen.,He dreams of becoming a star of the silver screen.
Unit 1,Words and expressions,doubt,n./v.,n. 不确定，怀疑；v. 怀疑，不相信，不信任,"However, doubts and fears often hold us back. / People doubted his decision.",I doubt we can finish the game before dinner.
Unit 1,Words and expressions,fear,n.,害怕，恐惧；担忧,Su fought his fears and became a sporting hero.,I finally faced my fear of dogs.
Unit 1,Words and expressions,succeed,v.,"成功，达成",How can we face them and succeed?,Keep trying and you will succeed.
Unit 1,Words and expressions,excellent,adj.,卓越的；极好的,The runner Su Bingtian gives an excellent answer to this question.,Your English speech was excellent!
Unit 1,Words and expressions,second,n.,秒,"In 2011, he ran the race in 10.16 seconds.",Wait a second - I'll get my jacket.
Unit 1,Words and expressions,satisfied,adj.,"满意的，满足的","However, Su wasn't satisfied.",I'm satisfied with my test score this time.
Unit 1,Words and expressions,risky,adj.,"有危险的，有风险的",This was a very risky decision.,Riding fast in the rain is risky.
Unit 1,Words and expressions,zero,num.,零,He had to start from zero.,The temperature fell to zero last night.
Unit 1,Words and expressions,Olympics,n.,"奥林匹克运动会，奥运会","In 2021, he finished in 9.83 seconds at the Tokyo Olympics.",I watched the Olympics with my dad every night.
Unit 1,Words and expressions,athlete,n.,运动员；田径运动员,He became the first Chinese athlete to run in the Olympic 100 m final.,She trains hard because she wants to be an athlete.
Unit 1,Words and expressions,stick,v.,"粘，贴",Nothing is impossible as long as you try and stick to it.,I stuck a photo on the first page of my notebook.
Unit 1,Words and expressions,stick to,短语,坚持,Nothing is impossible as long as you try and stick to it.,"If you make a plan, stick to it."
Unit 1,Words and expressions,superman,n.,超人,Everyone can be a Su-perman!,Dad carried all the boxes alone - he's a superman!
Unit 1,Developing ideas（读写正文短语）,hold back,短语,阻碍……前进,"However, doubts and fears often hold us back.",Don't let one bad score hold you back.
Unit 1,Developing ideas（读写正文短语）,fight one's fear,短语,战胜恐惧,Su fought his fears and became a sporting hero.,I fought my fear and spoke on the stage.
