Unit 3,Understanding ideas,fair,n.,展览会,"Easton stood beside his work at a science fair.","Our school fair is this Friday—want to come?"
Unit 3,Understanding ideas,block,n.,一块（指木头、石头等有直边的硬物）,"He built it out of plastic blocks and fishing line.","My little brother loves playing with building blocks."
Unit 3,Understanding ideas,artificial,adj.,人造的，人工的,"""Hello,"" said a girl with an artificial arm.","These flowers look real, but they're artificial."
Unit 3,Understanding ideas,condition,n.,长期疾病,"This was the first time Easton met Jenny, a girl with a special condition.","My grandpa has a heart condition, so he walks slowly."
Unit 3,Understanding ideas,cost,v.,价格为，需支付（某一数量的钱）,"Her artificial arm was just a simple hook, but it cost $80,000.","This phone cost me way too much!"
Unit 3,Understanding ideas,lend,v.,借给，借出,"I must lend a hand to people like her.","Can you lend me your pen for a second?"
Unit 3,Understanding ideas,lend (sb) a hand,短语,帮助（某人）做事；（给某人）搭把手,"I must lend a hand to people like her.","Let me lend you a hand with your bag."
Unit 3,Understanding ideas,3-D,adj.,三维的，立体的,"For his 16th birthday, Easton got a 3-D printer.","We watched a 3-D movie last weekend."
Unit 3,Understanding ideas,printer,n.,打印机,"People can make an artificial arm with their own 3-D printers!","The printer is out of paper again."
Unit 3,Understanding ideas,invent,v.,发明，创造,"And with it, he invented an artificial arm.","Who invented the telephone?"
Unit 3,Understanding ideas,weigh,v.,重，重量是……,"The arm weighed 3.6 kilograms. It was too heavy for a child.","How much does your schoolbag weigh?"
Unit 3,Understanding ideas,kilogram,n.,千克，公斤,"His design only weighed 0.5 kilograms and cost around $500!","I bought two kilograms of apples."
Unit 3,Understanding ideas,fix,v.,解决（问题）,"He enjoyed fixing problems one after another.","Don't worry, we can fix this problem together."
Unit 3,Understanding ideas,invention,n.,发明（物）,"Easton's invention has helped many children.","The Internet is a great invention."
Unit 3,Understanding ideas,download,v.,下载,"People can download the design and make an artificial arm.","I downloaded a new game last night."
Unit 3,Understanding ideas,apply,v.,应用，运用,"He also hoped to apply it to real life after finishing high school.","You can apply what you learn in class to real life."
Unit 3,Understanding ideas,blind,adj.,盲的，失明的,"Blind students at school had a hard time moving around.","The blind man crossed the street with his guide dog."
Unit 3,Understanding ideas,machine,n.,机器,"They wished to have a smart machine to warn them about the objects in their way.","This machine makes coffee in one minute."
Unit 3,Understanding ideas,warn,v.,警告，告诫；提醒,"It can sense objects nearby and shake to warn the user.","The sign warns people not to swim here."
Unit 3,Understanding ideas,object,n.,物体,"They wished to have a smart machine to warn them about the objects in their way.","What's that strange object on the table?"
Unit 3,Understanding ideas,sense,v.,检测并记录,"It can sense objects nearby and shake to warn the user.","My phone can sense how many steps I take."
Unit 3,Understanding ideas,congratulations,n.,祝贺的话,"Shantanu won an award and received many congratulations for his invention.","Congratulations on winning the game!"
Unit 3,Understanding ideas,advertisement,n.,广告；启事,"Then write an advertisement for it.","I saw an advertisement for that new movie."
Unit 3,Understanding ideas,everyday,adj.,日常的；平常的；每天的,"What everyday problem do you face?","Getting up early is just part of everyday life."
Unit 3,Understanding ideas,trouble,v.,使忧虑，使苦恼,"How does the problem trouble you?","Sorry to trouble you, but could you help me?"
Unit 3,Understanding ideas,creative,adj.,有创造力的,"Be creative! You can be as imaginative as you want.","She's so creative—she makes her own comics."
Unit 3,Understanding ideas,imaginative,adj.,富有想象力的；创新的,"You can be as imaginative as you want.","That's a really imaginative story you wrote!"
Unit 3,Developing ideas（听说）,inventor,n.,发明者，发明家,"The news programme encourages young people to become inventors.","Edison was a famous inventor."
Unit 3,Developing ideas（听说）,widely,adv.,广泛地；普遍地,"Good inventors think widely.","English is widely used around the world."
Unit 3,Developing ideas（读写）,curiosity,n.,好奇心,"The greatest inventions in history would be impossible without curiosity.","My cat is full of curiosity about everything new."
Unit 3,Developing ideas（读写）,talent,n.,天资，天赋，才能,"""I have no special talents. I am only passionately curious.""","She has a real talent for singing."
Unit 3,Developing ideas（读写）,electricity,n.,电,"He was drawn to electricity and had a deep curiosity about its nature.","We had no electricity for two hours last night."
Unit 3,Developing ideas（读写）,lightning,n.,闪电,"This invention protects buildings from lightning.","Did you see that lightning just now?"
Unit 3,Developing ideas（读写）,lightning rod,短语,避雷针,"His curiosity led him to invent the lightning rod.","There's a lightning rod on top of that tall building."
Unit 3,Developing ideas（读写）,pioneer,n.,先驱，先锋，创始人,"Just look at Wan Hu, the Ming Dynasty pioneer of space exploration.","She was a pioneer in computer science."
Unit 3,Developing ideas（读写）,exploration,n.,探索；探险；勘探；勘查,"Wan Hu was the Ming Dynasty pioneer of space exploration.","Space exploration is really exciting to me."
Unit 3,Developing ideas（读写）,test,v.,试验，检验,"He lost his life while testing this invention.","Let's test the new app before we use it in class."
Unit 3,Developing ideas（读写）,despite,prep.,尽管，虽然,"Despite the failure, his curiosity gave future explorers ideas.","Despite the cold, we enjoyed the trip."
Unit 3,Developing ideas（读写）,failure,n.,失败,"Despite the failure, his curiosity gave future explorers ideas.","Don't be afraid of failure—just try again."
Unit 3,Developing ideas（读写）,future,adj.,将来的，未来的,"His curiosity gave future explorers ideas.","Future phones might be as thin as paper."
Unit 3,Developing ideas（读写）,explorer,n.,探险者；勘察者,"People learnt from his example, and created safer ways to explore space.","The explorer spent a year in the jungle."
Unit 3,Developing ideas（读写）,risk,n.,冒险举动,"But curiosity is more than just taking risks.","Trying new things always has some risk."
Unit 3,Developing ideas（读写）,drive,v.,促使,"It also drives people towards certain goals.","Her dream drives her to practise every day."
Unit 3,Developing ideas（读写）,earthquake,n.,地震,"He drew China's first star map, and invented the first earthquake detector.","We learnt what to do in an earthquake."
Unit 3,Developing ideas（读写）,keyhole,n.,锁眼，钥匙孔,"It is a curious man looking through a keyhole, the keyhole of nature.","I peeked through the keyhole to see who was there."
