Unit 4,Understanding ideas 课文,digital,adj.,数字的；数码的,I've had some digital problems here.,My life is very digital – I do almost everything on my phone.
Unit 4,Understanding ideas 课文,century,n.,世纪,"I've been back in the UK for three days, but it feels like a century!",Waiting for the holiday feels like a century!
Unit 4,Understanding ideas 课文,forever,n./adv.,极长的一段时间,But it took forever to find a bike!,The bus took forever to come this morning.
Unit 4,Understanding ideas 课文,smartphone,n.,智能手机,I wanted to pay with my smartphone.,I use my smartphone to pay for everything.
Unit 4,Understanding ideas 课文,wallet,n.,钱包,I never carry my wallet.,"Oh no, I left my wallet at home!"
Unit 4,Understanding ideas 课文,payment,n.,支付；付款,"As I always make digital payments in China, I never carry my wallet.",Digital payment is super easy – just scan and go.
Unit 4,Understanding ideas 课文,cash,n.,现款；现金,The shopkeeper told me to use cash.,Do you have any cash on you? I only have my phone.
Unit 4,Understanding ideas 课文,app,n.,应用程序；应用软件,I ordered my favourite dishes through an app instead.,Which app do you use to order food?
Unit 4,Understanding ideas 课文,oven,n.,烤箱；烤炉,I had to heat them one by one in the oven.,Mum heated the pizza in the oven.
Unit 4,Understanding ideas 课文,except,prep.,除……之外,"Except for today, I've had a great holiday.",Everyone is here except Tom.
Unit 4,Understanding ideas 课文,convenient,adj.,方便的；便利的,The technology there lets me live a more convenient life!,Shared bikes are really convenient for short trips.
Unit 4,Understanding ideas 课文,development,n.,进步；发展,You can think about technology development and government plans.,The development of AI is changing our lives.
Unit 4,Grammar 语法,mobile,adj.,非固定的；移动式的,Mobile payment allows us to use our smartphones to pay for things easily.,Mobile payment is everywhere in China now.
Unit 4,Grammar 语法,anywhere,adv.,任何地方；无论何处,"Online education helps us learn new things anytime, anywhere.","With my phone, I can study anywhere."
Unit 4,Grammar 语法,a great deal,短语,充裕；丰富；大量,I've also learnt a great deal via online learning apps!,I learnt a great deal from that video.
Unit 4,Grammar 语法,via,prep.,通过,I've also learnt a great deal via online learning apps!,I chat with my cousin via video calls.
Unit 4,Grammar 语法,progress,n.,进步；进展,The app even let me check my daily progress.,I'm making progress in English!
Unit 4,Grammar 语法,offline,adj.,未联网的；不在线的,"After all, the offline world is also exciting, right?","Let's do something offline this weekend, like hiking."
Unit 4,Grammar 语法,nowadays,adv.,现今；现时,"Nowadays, instead of going to the shop, you can simply order online.",Nowadays almost nobody pays with cash.
Unit 4,Grammar 语法,simply,adv.,只是；只要,You can simply order online.,You can simply scan the QR code to pay.
Unit 4,Grammar 语法,save,v.,节省；节约,Technology saves me time because I can order things online.,Ordering online saves me a lot of time.
Unit 4,Grammar 语法,advantage,n.,好处；优点,One advantage of apps / the internet / social media is…,One advantage of shared bikes is that they're cheap.
Unit 4,Grammar 语法,effect,n.,效应；影响；结果,What effect has the internet had on your life?,Too much screen time has a bad effect on my eyes.
Unit 4,Developing ideas 听说,glue (be glued to sth),v./短语,胶合；盯着某物看,You've been glued to your phone for hours.,Don't be glued to the screen all day!
Unit 4,Developing ideas 读写,strange,adj.,奇怪的；不寻常的,It was strange to read the words.,It feels strange to write with a pen now – I always type.
Unit 4,Developing ideas 读写,throw,v.,投；扔；抛；掷,"When you finish the book, you just throw it away, I guess.",Don't throw your old books away – give them to me!
Unit 4,Developing ideas 读写,guess,v.,猜；猜测,"When you finish the book, you just throw it away, I guess.",Guess what? I got a new phone!
Unit 4,Developing ideas 读写,anyone,pron.,有人；任何人,Why would anyone write about school?,Has anyone seen my charger?
Unit 4,Developing ideas 读写,bedroom,n.,卧室,Margie's classroom was right next to her bedroom.,I do my homework in my bedroom.
Unit 4,Developing ideas 读写,homework,n.,家庭作业；功课,Please put yesterday's homework in the opening.,I finished my homework on the learning app.
